Date,High,Low,Open,Close,Volume,Adj Close
2019-02-12,7.5,7.199999809265137,7.400000095367432,7.400000095367432,3500.0,7.400000095367432
2019-02-13,7.599999904632568,7.300000190734863,7.5,7.599999904632568,5000.0,7.599999904632568
2019-02-14,7.699999809265137,7.199999809265137,7.699999809265137,7.300000190734863,4300.0,7.300000190734863
2019-02-15,7.699999809265137,7.300000190734863,7.300000190734863,7.5,5000.0,7.5
2019-02-19,7.800000190734863,7.300000190734863,7.599999904632568,7.5,10600.0,7.5
2019-02-20,7.800000190734863,7.300000190734863,7.800000190734863,7.300000190734863,3400.0,7.300000190734863
2019-02-21,7.699999809265137,6.800000190734863,7.699999809265137,6.800000190734863,11000.0,6.800000190734863
2019-02-22,7.300000190734863,6.900000095367432,6.900000095367432,7.300000190734863,3000.0,7.300000190734863
2019-02-25,7.699999809265137,7.0,7.5,7.5,8000.0,7.5
2019-02-26,7.5,7.199999809265137,7.5,7.199999809265137,2100.0,7.199999809265137
2019-02-27,7.699999809265137,7.199999809265137,7.199999809265137,7.699999809265137,7600.0,7.699999809265137
2019-02-28,7.699999809265137,7.300000190734863,7.699999809265137,7.699999809265137,5800.0,7.699999809265137
2019-03-01,7.699999809265137,7.099999904632568,7.5,7.300000190734863,19000.0,7.300000190734863
2019-03-04,7.5,6.900000095367432,7.5,7.300000190734863,6600.0,7.300000190734863
2019-03-05,7.300000190734863,6.900000095367432,7.199999809265137,7.300000190734863,6000.0,7.300000190734863
2019-03-06,7.300000190734863,6.900000095367432,7.300000190734863,7.099999904632568,4800.0,7.099999904632568
2019-03-07,7.300000190734863,6.900000095367432,7.099999904632568,6.900000095367432,3500.0,6.900000095367432
2019-03-08,7.599999904632568,6.5,7.099999904632568,7.400000095367432,142300.0,7.400000095367432
2019-03-11,7.5,7.0,7.400000095367432,7.199999809265137,48500.0,7.199999809265137
2019-03-12,7.5,7.300000190734863,7.300000190734863,7.300000190734863,35400.0,7.300000190734863
2019-03-13,7.199999809265137,6.800000190734863,7.199999809265137,7.199999809265137,164100.0,7.199999809265137
2019-03-14,7.199999809265137,6.800000190734863,7.199999809265137,7.0,46400.0,7.0
2019-03-15,9.399999618530273,7.0,7.199999809265137,8.5,763900.0,8.5
2019-03-18,9.300000190734863,8.100000381469727,8.699999809265137,8.300000190734863,117100.0,8.300000190734863
2019-03-19,11.399999618530273,8.600000381469727,8.600000381469727,10.0,825200.0,10.0
2019-03-20,11.199999809265137,10.0,10.5,10.899999618530273,499600.0,10.899999618530273
2019-03-21,11.399999618530273,10.100000381469727,11.199999809265137,10.5,175600.0,10.5
2019-03-22,10.5,10.100000381469727,10.399999618530273,10.300000190734863,77000.0,10.300000190734863
2019-03-25,10.699999809265137,10.199999809265137,10.199999809265137,10.5,76800.0,10.5
2019-03-26,10.699999809265137,9.800000190734863,10.5,9.899999618530273,72100.0,9.899999618530273
2019-03-27,10.300000190734863,8.899999618530273,9.699999809265137,9.100000381469727,67500.0,9.100000381469727
2019-03-28,9.800000190734863,9.0,9.0,9.399999618530273,53700.0,9.399999618530273
2019-03-29,9.5,9.0,9.5,9.100000381469727,35900.0,9.100000381469727
2019-04-01,9.100000381469727,8.199999809265137,8.800000190734863,8.699999809265137,101800.0,8.699999809265137
2019-04-02,8.800000190734863,8.199999809265137,8.699999809265137,8.5,83300.0,8.5
2019-04-03,8.699999809265137,8.199999809265137,8.5,8.399999618530273,90400.0,8.399999618530273
2019-04-04,8.699999809265137,8.0,8.300000190734863,8.399999618530273,347700.0,8.399999618530273
2019-04-05,8.5,8.0,8.300000190734863,8.300000190734863,107000.0,8.300000190734863
2019-04-08,8.5,8.0,8.399999618530273,8.199999809265137,23900.0,8.199999809265137
2019-04-09,8.199999809265137,8.0,8.100000381469727,8.100000381469727,28100.0,8.100000381469727
2019-04-10,8.199999809265137,8.0,8.0,8.0,20100.0,8.0
2019-04-11,8.199999809265137,8.0,8.0,8.0,34100.0,8.0
2019-04-12,8.0,6.5,8.0,6.699999809265137,367600.0,6.699999809265137
2019-04-15,7.300000190734863,6.800000190734863,6.800000190734863,6.800000190734863,43800.0,6.800000190734863
2019-04-16,7.199999809265137,6.800000190734863,7.199999809265137,6.800000190734863,59600.0,6.800000190734863
2019-04-17,7.199999809265137,6.699999809265137,6.699999809265137,6.800000190734863,31300.0,6.800000190734863
2019-04-18,7.199999809265137,6.900000095367432,7.199999809265137,7.099999904632568,21800.0,7.099999904632568
2019-04-22,7.5,7.0,7.5,7.199999809265137,53500.0,7.199999809265137
2019-04-23,7.699999809265137,7.0,7.400000095367432,7.5,44900.0,7.5
2019-04-24,7.599999904632568,7.199999809265137,7.5,7.5,21800.0,7.5
2019-04-25,7.699999809265137,7.199999809265137,7.599999904632568,7.400000095367432,12000.0,7.400000095367432
2019-04-26,7.800000190734863,7.199999809265137,7.800000190734863,7.400000095367432,20400.0,7.400000095367432
2019-04-29,7.5,7.300000190734863,7.400000095367432,7.300000190734863,10200.0,7.300000190734863
2019-04-30,7.400000095367432,7.199999809265137,7.400000095367432,7.199999809265137,50700.0,7.199999809265137
2019-05-01,7.400000095367432,6.5,7.199999809265137,6.599999904632568,76800.0,6.599999904632568
2019-05-02,7.0,6.599999904632568,6.900000095367432,6.599999904632568,52700.0,6.599999904632568
2019-05-03,7.0,5.900000095367432,6.699999809265137,6.099999904632568,210600.0,6.099999904632568
2019-05-06,6.400000095367432,5.5,6.400000095367432,5.5,83600.0,5.5
